repoId,issueId,I_url,I_createdAt,I_authorName,I_authorAssociation,I_authorGender,I_state,I_closedAt,I_numberOfComments,I_numberOfAssignees,I_numberOfParticipants,I_assignmentActorName,I_firstAssigneeName,I_timeUntilFirstComment,I_meanCommentInterval,I_timeUntilFirstAssignment,I_timeUntilClosed,I_age,I_labeledAsSecurityIssue,I_status,I_clear,I_info,I_pullRequest,I_roleOfAuthorInPR,I_numberOfCommentsInPR,I_numberOfParticipantsInPR,I_prDiscussionChallenge
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTQwODQ=,https://github.com/elastic/elasticsearch/issues/30031,2/10/2017 18:08:28,Elastic Machine,COLLABORATOR,unknown,CLOSED,6/7/2018 20:50:17,29,0,2, , ,1.15740740740741E-005,17.218253968254, ,482.111805555556,482.111805555556,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTQxNDc=,https://github.com/elastic/elasticsearch/issues/30036,2/10/2017 18:09:02,Elastic Machine,COLLABORATOR,unknown,OPEN, ,7,0,1, , ,0,0, , ,1138.24305555556,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTQyNDE=,https://github.com/elastic/elasticsearch/issues/30044,2/10/2017 18:39:11,Elastic Machine,COLLABORATOR,unknown,CLOSED,4/25/2018 16:35:22,4,0,2, , ,46.7033912037037,130.736574074074, ,438.913888888889,438.913888888889,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDc1ODM=,https://github.com/elastic/elasticsearch/issues/29752,2/10/2017 18:43:46,Elastic Machine,COLLABORATOR,unknown,CLOSED,9/26/2019 0:41:23,1,0,1, , ,957.248344907408, , ,957.247916666667,957.247916666667,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDc2NTk=,https://github.com/elastic/elasticsearch/issues/29760,2/10/2017 18:51:36,Elastic Machine,COLLABORATOR,unknown,OPEN, ,1,0,1, , ,2.31481481481482E-005, , , ,1138.21388888889,1,PENDING,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDk3NTE=,https://github.com/elastic/elasticsearch/issues/29945,5/30/2017 13:53:13,Elastic Machine,COLLABORATOR,unknown,OPEN, ,5,0,2, , ,1.1184837962963,221.026909722222, , ,1029.42083333333,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDk5ODk=,https://github.com/elastic/elasticsearch/issues/29960,7/3/2017 13:42:50,Elastic Machine,COLLABORATOR,unknown,CLOSED,2/3/2020 19:56:38,2,1,2,Elastic Machine,Albert Zaharovits,260.742384259259,684.516666666667,295.493055555556,945.259027777778,945.259027777778,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDc5NDI=,https://github.com/elastic/elasticsearch/issues/29791,7/28/2017 1:11:24,Elastic Machine,COLLABORATOR,unknown,OPEN, ,2,1,2,Elastic Machine,Lisa Cawley,789.996898148148,11.6013888888889,271.00625, ,970.95,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDgwNTI=,https://github.com/elastic/elasticsearch/issues/29802,8/11/2017 14:47:23,Elastic Machine,COLLABORATOR,unknown,OPEN, ,3,0,2, , ,54.5497106481481,368.423611111111, , ,956.383333333333,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTQ5Njc=,https://github.com/elastic/elasticsearch/issues/30095,9/19/2017 8:48:39,Elastic Machine,COLLABORATOR,unknown,CLOSED,12/4/2018 13:50:11,1,1,1,Elastic Machine,Albert Zaharovits,441.209398148148, ,217.719444444444,441.209027777778,441.209027777778,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDgxNzU=,https://github.com/elastic/elasticsearch/issues/29812,10/3/2017 16:36:47,Elastic Machine,COLLABORATOR,unknown,OPEN, ,3,0,1, , ,.00337962962962963,.00694444444444444, , ,903.307638888889,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDgyNjQ=,https://github.com/elastic/elasticsearch/issues/29820,10/19/2017 12:40:54,Elastic Machine,COLLABORATOR,unknown,CLOSED,7/24/2018 16:35:28,49,1,1,Elastic Machine,Tim Vernum,1.0493287037037,3.78430266203704,187.528472222222,278.1625,278.1625,1,ACCEPTED,Yes,None,Multiple Reviews,Reviewer,110,4,High
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTAyMDg=,https://github.com/elastic/elasticsearch/issues/29974,11/29/2017 15:48:48,Elastic Machine,COLLABORATOR,unknown,OPEN, ,6,0,2, , ,.00545138888888889,138.23125, , ,846.340972222222,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDg2MDY=,https://github.com/elastic/elasticsearch/issues/29847,12/29/2017 12:01:28,Elastic Machine,COLLABORATOR,unknown,CLOSED,12/5/2018 4:51:51,9,0,5, , ,122.62474537037,24.3511284722222, ,340.701388888889,340.701388888889,1,ACCEPTED,Yes,None,Single Review,No,4,3,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDg2MjQ=,https://github.com/elastic/elasticsearch/issues/29849,1/5/2018 0:40:25,Elastic Machine,COLLABORATOR,unknown,OPEN, ,2,0,1, , ,.000555555555555556,.589583333333333, , ,809.971527777778,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTQ2MDg=,https://github.com/elastic/elasticsearch/issues/30074,2/26/2018 6:46:30,Elastic Machine,COLLABORATOR,unknown,OPEN, ,4,0,1, , ,.000648148148148148,3.35439814814815, , ,757.717361111111,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTQ2MzM=,https://github.com/elastic/elasticsearch/issues/30076,3/3/2018 21:34:44,Elastic Machine,COLLABORATOR,unknown,OPEN, ,2,0,2, , ,.000231481481481481,71.3708333333333, , ,752.100694444444,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDg5MzM=,https://github.com/elastic/elasticsearch/issues/29881,3/19/2018 19:03:15,Elastic Machine,COLLABORATOR,unknown,CLOSED,1/24/2019 10:36:11,12,1,5,Elastic Machine,Albert Zaharovits,.0577893518518519,34.2877525252525,36.2666666666667,310.647222222222,310.647222222222,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Creator,20,3,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDg5NjM=,https://github.com/elastic/elasticsearch/issues/29884,3/20/2018 14:04:49,Elastic Machine,COLLABORATOR,unknown,CLOSED,5/16/2018 16:39:34,20,1,2,Elastic Machine,Jay Modi,.00238425925925926,3.00515350877193,35.4736111111111,57.1069444444444,57.1069444444444,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTA1NzA=,https://github.com/elastic/elasticsearch/issues/29995,4/4/2018 13:17:47,Elastic Machine,COLLABORATOR,unknown,CLOSED,6/12/2018 9:23:40,1,1,1,Ioannis Kakavas,Ioannis Kakavas,56.9272337962963, ,67.3340277777778,68.8368055555556,68.8368055555556,1,ACCEPTED,Yes,Documentation,Single Review,No,10,2,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTA2MTc=,https://github.com/elastic/elasticsearch/issues/29998,4/9/2018 2:50:50,Elastic Machine,COLLABORATOR,unknown,OPEN, ,10,1,3,Albert Zaharovits,Albert Zaharovits,542.338101851852,10.5479166666667,154.41875, ,715.88125,1,PENDING,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NTM4NzU=,https://github.com/elastic/elasticsearch/issues/30013,4/20/2018 23:12:32,Elastic Machine,COLLABORATOR,unknown,CLOSED,8/7/2018 15:37:04,2,1,2,Tim Brooks,Tim Brooks,23.3951041666667,85.2881944444444,23.7277777777778,108.683333333333,108.683333333333,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Reviewer,5,3,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTc0NDkxNjE=,https://github.com/elastic/elasticsearch/issues/29899,4/24/2018 12:31:28,Elastic Machine,COLLABORATOR,unknown,CLOSED,5/4/2018 12:07:28,1,1,1,Ioannis Kakavas,Ioannis Kakavas,9.98333333333333, ,9.98194444444444,9.98333333333333,9.98333333333333,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTgzMzc1NTM=,https://github.com/elastic/elasticsearch/issues/30199,4/27/2018 9:22:57,Jymit,NONE,male,CLOSED,5/14/2018 20:13:27,2,1,2,Jay Modi,Lisa Cawley,.0406134259259259,4.23125,4.27152777777778,17.4513888888889,17.4513888888889,1,ACCEPTED,Yes,Documentation,Single Review,No,4,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTkyNDU4OTI=,https://github.com/elastic/elasticsearch/issues/30306,5/1/2018 16:17:10,David Turner,CONTRIBUTOR,male,CLOSED,5/3/2018 16:39:27,5,1,2,Jay Modi,Jay Modi,1.15740740740741E-005,.505208333333333,1.90694444444444,2.01527777777778,2.01527777777778,1,ACCEPTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMTk4MjY2NTg=,https://github.com/elastic/elasticsearch/issues/30355,5/3/2018 8:21:33,Tim Vernum,CONTRIBUTOR,male,CLOSED,5/24/2018 16:43:10,6,1,6,Jay Modi,Jay Modi,1.15740740740741E-005,.787222222222222,6.25833333333333,21.3479166666667,21.3479166666667,1,ACCEPTED,Yes,None,Multiple Reviews,Reviewer,14,2,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMjMzMDYxNDg=,https://github.com/elastic/elasticsearch/issues/30624,5/15/2018 17:08:23,James Uffindell-Birt,NONE,male,CLOSED,5/22/2018 11:53:36,3,1,3,Martijn van Groningen,Martijn van Groningen,.0467361111111111,.452777777777778,1.70069444444444,6.78125,6.78125,1,ACCEPTED,Yes,Documentation,Multiple Reviews,No,4,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMzIzOTgzOTg=,https://github.com/elastic/elasticsearch/issues/31332,6/14/2018 13:15:52,Tim Vernum,CONTRIBUTOR,male,CLOSED,6/19/2018 17:58:35,2,2,1,Tim Vernum,Tim Vernum,2.31481481481482E-005,0,0,5.19583333333333,5.19583333333333,1,ACCEPTED,Yes,None,Multiple Reviews,Reviewer,11,4,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzMzcxMTYyNDE=,https://github.com/elastic/elasticsearch/issues/31698,6/29/2018 19:45:38,Julie Tibshirani,MEMBER,female,CLOSED,8/3/2018 13:43:08,6,1,4,Colin Goodheart-Smithe,Jim Ferenczi,1.15740740740741E-005,6.94930555555556,34.5458333333333,34.7479166666667,34.7479166666667,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNDUwNjI0NTc=,https://github.com/elastic/elasticsearch/issues/32419,7/27/2018 1:50:32,Jason Tedor,MEMBER,male,CLOSED,7/28/2018 13:57:00,2,2,2,Jason Tedor,Yogesh Gaikwad,1.15740740740741E-005,1.50416666666667,0,1.50416666666667,1.50416666666667,1,REJECTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNDYwNDQ0NDg=,https://github.com/elastic/elasticsearch/issues/32486,7/31/2018 5:51:31,Daniel Mitterdorfer,MEMBER,male,CLOSED,8/3/2018 7:16:56,3,1,2,Daniel Mitterdorfer,Ioannis Kakavas,2.31481481481482E-005,1.52916666666667,0,3.05902777777778,3.05902777777778,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNDc4MjI3OTU=,https://github.com/elastic/elasticsearch/issues/32637,8/6/2018 8:15:51,David Kyle,MEMBER,male,CLOSED,8/9/2018 23:55:44,1,1,1,Yogesh Gaikwad,Yogesh Gaikwad,1.15740740740741E-005, ,.0402777777777778,3.65208333333333,3.65208333333333,1,ACCEPTED,Yes,Reproducability,Single Review,No,9,2,Medium
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNDgyNTgyMjQ=,https://github.com/elastic/elasticsearch/issues/32673,8/7/2018 10:19:30,Albert Zaharovits,CONTRIBUTOR,male,CLOSED,8/10/2018 16:37:06,1,1,1,Albert Zaharovits,Albert Zaharovits,2.31481481481482E-005, ,0,3.26180555555556,3.26180555555556,1,ACCEPTED,Yes,Reproducability,Multiple Reviews,Creator,3,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNDg2MDM1MzU=,https://github.com/elastic/elasticsearch/issues/32704,8/8/2018 7:16:08,David Turner,CONTRIBUTOR,male,CLOSED,8/8/2018 9:34:31,2,0,2, , ,1.15740740740741E-005,.08125, ,.0958333333333333,.0958333333333333,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNDk0OTM1MzE=,https://github.com/elastic/elasticsearch/issues/32777,8/10/2018 12:16:44,Brandon Kobel,CONTRIBUTOR,male,CLOSED,10/18/2018 3:09:05,8,1,5,Jay Modi,Tim Vernum,1.15740740740741E-005,3.68769841269841,.125694444444444,68.6194444444444,68.6194444444444,1,ACCEPTED,Yes,None,Multiple Reviews,No,31,5,High
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNTMyMzg3MzU=,https://github.com/elastic/elasticsearch/issues/33076,8/23/2018 6:14:54,Tim Vernum,CONTRIBUTOR,male,OPEN, ,2,0,2, , ,1.15740740740741E-005,410.476388888889, , ,579.739583333333,1,PENDING,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNTM3MDc0MjY=,https://github.com/elastic/elasticsearch/issues/33123,8/24/2018 9:18:44,Andrei Stefan,CONTRIBUTOR,male,CLOSED,8/31/2018 16:47:06,1,1,1,Colin Goodheart-Smithe,Colin Goodheart-Smithe,2.31481481481482E-005, ,6.24722222222222,7.31111111111111,7.31111111111111,1,ACCEPTED,Yes,Documentation,Multiple Reviews,No,8,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNTQzMTAwMDc=,https://github.com/elastic/elasticsearch/issues/33168,8/27/2018 13:03:26,Ioannis Kakavas,CONTRIBUTOR,male,CLOSED,8/29/2018 9:35:31,2,1,2,Ioannis Kakavas,Ioannis Kakavas,2.31481481481482E-005,.0409722222222222,0,1.85555555555556,1.85555555555556,1,ACCEPTED,Yes,None,Single Review,Creator,3,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNTQzNzI1Nzg=,https://github.com/elastic/elasticsearch/issues/33175,8/27/2018 15:46:19,Jay Modi,MEMBER,male,CLOSED,10/3/2018 18:31:20,3,1,2,Jay Modi,Jay Modi,.000856481481481482,.538888888888889,0,37.1145833333333,37.1145833333333,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Creator,4,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNTk5OTMwMjM=,https://github.com/elastic/elasticsearch/issues/33680,9/13/2018 17:32:03,Florian Kelbert,CONTRIBUTOR,male,CLOSED,9/13/2018 17:49:52,2,0,2, , ,1.15740740740741E-005,.00347222222222222, ,.0118055555555556,.0118055555555556,1,REJECTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNjA3ODkxNDM=,https://github.com/elastic/elasticsearch/issues/33751,9/17/2018 9:35:48,Ioannis Kakavas,CONTRIBUTOR,male,CLOSED,10/25/2018 14:39:49,2,1,2,Ioannis Kakavas,Tim Brooks,1.15740740740741E-005,38.2111111111111,0,38.2111111111111,38.2111111111111,1,ACCEPTED,Yes,Reproducability,Single Review,No,4,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNjYxMzA5Mzc=,https://github.com/elastic/elasticsearch/issues/34252,10/3/2018 0:37:29,Thiago Souza,MEMBER,male,CLOSED,9/25/2019 8:56:23,1,1,1,Yogesh Gaikwad,Yogesh Gaikwad,1.15740740740741E-005, ,264.03125,357.345833333333,357.345833333333,1,ACCEPTED,Yes,Reproducability,Multiple Reviews,No,40,3,High
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNzE2MjIwODE=,https://github.com/elastic/elasticsearch/issues/34610,10/18/2018 16:55:52, ,CONTRIBUTOR,unknown,CLOSED,10/19/2018 1:28:15,6,1,3,Jay Modi,Tim Vernum,.0104166666666667,.0205555555555556,.0388888888888889,.355555555555556,.355555555555556,1,ACCEPTED,Yes,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNzQ1MDYxNzg=,https://github.com/elastic/elasticsearch/issues/34931,10/26/2018 18:53:52, ,NONE,unknown,CLOSED,2/24/2020 15:51:07,9,0,4, , ,1.15740740740741E-005,2.275, ,485.872916666667,485.872916666667,1,REJECTED,Yes,Reproducability,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzNzU4MDExODY=,https://github.com/elastic/elasticsearch/issues/35115,10/31/2018 5:10:34,Tim Vernum,CONTRIBUTOR,male,CLOSED,12/18/2018 8:05:51,4,1,4,Ioannis Kakavas,Ioannis Kakavas,1.15740740740741E-005,2.81643518518519,1.48055555555556,48.1215277777778,48.1215277777778,1,ACCEPTED,Yes,Documentation,Multiple Reviews,Reviewer,89,4,High
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzODE1Mzk3MjA=,https://github.com/elastic/elasticsearch/issues/35628,11/16/2018 10:28:59,David Turner,CONTRIBUTOR,male,CLOSED,12/6/2018 17:52:05,2,1,2,Jason Tedor,Jason Tedor,1.15740740740741E-005,20.1513888888889,20.1513888888889,20.3076388888889,20.3076388888889,1,ACCEPTED,Yes,Documentation,Multiple Reviews,No,6,3,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzODI2NzA4ODM=,https://github.com/elastic/elasticsearch/issues/35738,11/20/2018 13:47:30,Alpar Torok,CONTRIBUTOR,male,CLOSED,10/1/2019 7:48:57,6,1,5,Tim Vernum,Tim Vernum,2.31481481481482E-005,62.9497222222222,.509027777777778,314.750694444444,314.750694444444,1,ACCEPTED,Yes,Reproducability,Single Review,No,3,1,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzODQ5Mzk5NjU=,https://github.com/elastic/elasticsearch/issues/35963,11/27/2018 18:59:30,Ioannis Kakavas,CONTRIBUTOR,male,OPEN, ,1,0,1, , ,2.31481481481482E-005, , , ,483.208333333333,1,PENDING,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzODUxMzk4MzY=,https://github.com/elastic/elasticsearch/issues/35978,11/28/2018 7:42:40,Ioannis Kakavas,CONTRIBUTOR,male,OPEN, ,1,0,1, , ,1.15740740740741E-005, , , ,482.678472222222,1,PENDING,No,None,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzODY5MDEyNTk=,https://github.com/elastic/elasticsearch/issues/36162,12/3/2018 16:34:48,Jason Bryan,CONTRIBUTOR,male,CLOSED,12/4/2018 0:00:50,2,1,2,Albert Zaharovits,Albert Zaharovits,2.31481481481482E-005,.05625,.00694444444444444,.309722222222222,.309722222222222,1,ACCEPTED,Yes,Reproducability,Single Review,No,4,1,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzODcxNjM2NzM=,https://github.com/elastic/elasticsearch/issues/36199,12/4/2018 8:04:23,Daniel Mitterdorfer,MEMBER,male,CLOSED,12/12/2018 15:05:36,10,2,6,Daniel Mitterdorfer,Tim Vernum,1.15740740740741E-005,.921141975308642,0,8.29236111111111,8.29236111111111,1,ACCEPTED,Yes,Documentation,Multiple Reviews,No,2,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzODg1NDc1NTM=,https://github.com/elastic/elasticsearch/issues/36352,12/7/2018 8:12:25,Balazs Czifra,MEMBER,male,CLOSED,10/1/2019 0:11:15,6,0,5, , ,.14337962962963,59.5040277777778, ,297.665277777778,297.665277777778,1,REJECTED,No,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzOTE4MDQ5ODg=,https://github.com/elastic/elasticsearch/issues/36727,12/17/2018 17:01:26,Jay Modi,MEMBER,male,CLOSED,12/28/2018 11:09:42,1,1,1,Ioannis Kakavas,Ioannis Kakavas,1.15740740740741E-005, ,.115277777777778,10.7555555555556,10.7555555555556,1,ACCEPTED,Yes,None,Multiple Reviews,Reviewer,5,2,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzOTQ1ODUwNDU=,https://github.com/elastic/elasticsearch/issues/37013,12/28/2018 8:57:57,Luca Cavanna,MEMBER,male,CLOSED,12/28/2018 9:32:53,3,0,3, , ,1.15740740740741E-005,.0121527777777778, ,.0236111111111111,.0236111111111111,1,ACCEPTED,Yes,Documentation,No, , , , 
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWUzOTkzODY0NjE=,https://github.com/elastic/elasticsearch/issues/37481,1/15/2019 15:05:24,Marios Trivyzas,CONTRIBUTOR,male,CLOSED,1/15/2019 21:03:22,1,1,1,Jay Modi,Jay Modi,2.31481481481482E-005, ,.00763888888888889,.247916666666667,.247916666666667,1,ACCEPTED,Yes,Documentation,Single Review,No,2,1,Low
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,MDU6SXNzdWU0MDc5MzU4MDA=,https://github.com/elastic/elasticsearch/issues/38590,2/7/2019 22:59:41,Jared Carey,MEMBER,male,OPEN, ,1,0,1, , ,.00836805555555556, , , ,411.041666666667,1,PENDING,Yes,Documentation,No, , , , 
